Date,Month,Channel,Owner,TruckName,Pack Size,DutyCycle,SKU,TotalMileage,Software,Distribution,IUPR,Cost of Sales,Price,Ppk
1/1/2011,11-Jan,Supermarkets,ISB,Iota,12,High,Iota 12 Pack High,728,66959,15.17,0.1517,170.12,91.98,0.9198
1/1/2011,11-Jan,Supermarkets,ISB,Iota,12,Standard,Iota 12 Pack Standard,563,50699,13.72,0.1372,128.81,90.05,0.9005
1/1/2011,11-Jan,Supermarkets,ISB,Lambda,8,Standard,Lambda 8 Pack Standard,383,26911,10.71,0.1071,68.37,70.26,0.7026
1/1/2011,11-Jan,Supermarkets,ISB,Lambda,12,Standard,Lambda 12 Pack Standard,1884,118360,27.35,0.2735,300.7,62.82,0.6282
1/1/2011,11-Jan,Supermarkets,ISB,Mu,12,Standard,Mu 12 Pack Standard,291,47244,7.97,0.0797,120.03,162.35,1.6235
1/1/2011,11-Jan,Supermarkets,ISB,Theta,6,Standard,Theta 6 Pack Standard,344,34654,9.04,0.0904,88.04,100.74,1.0074
1/1/2011,11-Jan,Supermarkets,ISB,Theta,8,Standard,Theta 8 Pack Standard,1871,173690,27.21,0.2721,441.28,92.83,0.9283
1/1/2011,11-Jan,Supermarkets,ISB,Theta,12,Low,Theta 12 Pack Low,1461,115226,13.26,0.1326,292.75,78.87,0.7887
1/1/2011,11-Jan,Supermarkets,ISB,Theta,12,High,Theta 12 Pack High,2836,239150,24.5,0.245,607.58,84.33,0.8433
1/1/2011,11-Jan,Supermarkets,ISB,Theta,12,Standard,Theta 12 Pack Standard,22206,1391524,62.89,0.6289,3535.31,62.66,0.6266
1/1/2011,11-Jan,Supermarkets,ISB,Theta,18,Standard,Theta 18 Pack Standard,5645,368566,26.43,0.2643,936.38,65.29,0.6529
1/1/2011,11-Jan,Supermarkets,PickUp,Gamma,12,Standard,Gamma 12 Pack Standard,1748,120541,27.13,0.2713,306.25,68.96,0.6896
1/1/2011,11-Jan,Supermarkets,CabChasis,Alpha,12,Standard,Alpha 12 Pack Standard,847,75568,15.15,0.1515,191.99,89.22,0.8922
1/1/2011,11-Jan,Supermarkets,CabChasis,Alpha,18,Standard,Alpha 18 Pack Standard,319,25450,6.42,0.0642,64.66,79.78,0.7978
1/1/2011,11-Jan,Supermarkets,ISF,Beta,8,Standard,Beta 8 Pack Standard,945,119762,20.81,0.2081,304.27,126.73,1.2673
1/1/2011,11-Jan,Supermarkets,ISF,Beta,12,Low,Beta 12 Pack Low,485,59689,12.16,0.1216,151.64,123.07,1.2307
1/1/2011,11-Jan,Supermarkets,ISF,Beta,12,High,Beta 12 Pack High,930,120709,18.22,0.1822,306.67,129.79,1.2979
1/1/2011,11-Jan,Supermarkets,ISF,Beta,12,Standard,Beta 12 Pack Standard,6137,628434,34.02,0.3402,1596.6,102.4,1.024
1/1/2011,11-Jan,Supermarkets,ISF,Beta,18,Standard,Beta 18 Pack Standard,1915,185317,17.06,0.1706,470.81,96.77,0.9677
1/1/2011,11-Jan,Supermarkets,ISF,Beta,60,Standard,Beta 60 Pack Standard,107,13445,2.39,0.0239,34.16,125.65,1.2565
1/1/2011,11-Jan,Supermarkets,Ventura,Omega,12,Standard,Omega 12 Pack Standard,233,15511,4.15,0.0415,39.41,66.57,0.6657
1/1/2011,11-Jan,Supermarkets,ISL,Kappa,8,Standard,Kappa 8 Pack Standard,776,69099,19.87,0.1987,175.55,89.05,0.8905
1/1/2011,11-Jan,Supermarkets,ISL,Kappa,12,Standard,Kappa 12 Pack Standard,2216,166212,26.44,0.2644,422.28,75.01,0.7501
1/1/2011,11-Jan,Supermarkets,ISL,Kappa,18,Standard,Kappa 18 Pack Standard,927,68194,12.49,0.1249,173.26,73.56,0.7356
1/1/2011,11-Jan,Supermarkets,Vanguard,Pi,12,High,Pi 12 Pack High,188,15899,5.74,0.0574,40.39,84.57,0.8457
1/2/2011,11-Feb,Hypermarkets,ISX,Delta,12,Standard,Delta 12 Pack Standard,1997,110395,96.71,0.9671,280.47,55.28,0.5528
1/2/2011,11-Feb,Hypermarkets,ISX,Eta,12,Standard,Eta 12 Pack Standard,698,33109,15.11,0.1511,84.11,47.43,0.4743
1/2/2011,11-Feb,Hypermarkets,ISX,Omicron,8,Standard,Omicron 8 Pack Standard,1194,99437,99.63,0.9963,252.63,83.28,0.8328
1/2/2011,11-Feb,Hypermarkets,ISX,Omicron,12,Low,Omicron 12 Pack Low,513,44993,92.4,0.924,114.31,87.71,0.8771
1/2/2011,11-Feb,Hypermarkets,ISX,Omicron,12,High,Omicron 12 Pack High,2622,232062,99.33,0.9933,589.58,88.51,0.8851
1/2/2011,11-Feb,Hypermarkets,ISX,Omicron,12,Standard,Omicron 12 Pack Standard,6954,506628,99.95,0.9995,1287.14,72.85,0.7285
1/2/2011,11-Feb,Hypermarkets,ISX,Omicron,18,Standard,Omicron 18 Pack Standard,5454,370063,97.59,0.9759,940.18,67.85,0.6785
1/2/2011,11-Feb,Hypermarkets,ISX,Sigma,12,High,Sigma 12 Pack High,736,120790,93.77,0.9377,306.88,164.12,1.6412
1/2/2011,11-Feb,Hypermarkets,ISX,Sigma,12,Standard,Sigma 12 Pack Standard,763,111529,95.87,0.9587,283.35,146.17,1.4617
1/2/2011,11-Feb,Hypermarkets,ISX,Tau,12,Standard,Tau 12 Pack Standard,1164,78391,81.15,0.8115,199.16,67.35,0.6735
1/2/2011,11-Feb,Hypermarkets,ISB,Epsilon,12,Standard,Epsilon 12 Pack Standard,1213,63185,81.12,0.8112,160.53,52.09,0.5209
1/2/2011,11-Feb,Hypermarkets,ISB,Iota,12,High,Iota 12 Pack High,1253,109962,93.01,0.9301,279.37,87.76,0.8776
1/2/2011,11-Feb,Hypermarkets,ISB,Iota,12,Standard,Iota 12 Pack Standard,840,71146,92.9,0.929,180.75,84.7,0.847
1/2/2011,11-Feb,Hypermarkets,ISB,Lambda,8,Standard,Lambda 8 Pack Standard,758,46438,70.69,0.7069,117.98,61.26,0.6126
1/2/2011,11-Feb,Hypermarkets,ISB,Lambda,12,Standard,Lambda 12 Pack Standard,4202,226134,99.53,0.9953,574.52,53.82,0.5382
1/2/2011,11-Feb,Hypermarkets,ISB,Mu,12,Standard,Mu 12 Pack Standard,206,30985,49.79,0.4979,78.72,150.41,1.5041
1/2/2011,11-Feb,Hypermarkets,ISB,Theta,6,Standard,Theta 6 Pack Standard,176,17145,20.39,0.2039,43.56,97.41,0.9741
1/2/2011,11-Feb,Hypermarkets,ISB,Theta,8,Standard,Theta 8 Pack Standard,832,73745,98.46,0.9846,187.36,88.64,0.8864
1/2/2011,11-Feb,Hypermarkets,ISB,Theta,12,Low,Theta 12 Pack Low,1184,93041,94.29,0.9429,236.38,78.58,0.7858
1/2/2011,11-Feb,Hypermarkets,ISB,Theta,12,High,Theta 12 Pack High,4069,338565,98.44,0.9844,860.16,83.21,0.8321
1/2/2011,11-Feb,Hypermarkets,ISB,Theta,12,Standard,Theta 12 Pack Standard,7652,545132,99.58,0.9958,1384.97,71.24,0.7124
1/2/2011,11-Feb,Hypermarkets,ISB,Theta,18,Standard,Theta 18 Pack Standard,17552,1059934,98.94,0.9894,2692.87,60.39,0.6039
1/2/2011,11-Feb,Hypermarkets,PickUp,Gamma,12,Standard,Gamma 12 Pack Standard,3179,197648,99.02,0.9902,502.15,62.17,0.6217
1/2/2011,11-Feb,Hypermarkets,CabChasis,Alpha,12,Standard,Alpha 12 Pack Standard,413,39449,67.07,0.6707,100.22,95.52,0.9552
1/2/2011,11-Feb,Hypermarkets,CabChasis,Alpha,18,Standard,Alpha 18 Pack Standard,1602,119902,93.4,0.934,304.63,74.85,0.7485
1/2/2011,11-Feb,Hypermarkets,ISF,Beta,8,Standard,Beta 8 Pack Standard,1004,112577,99.61,0.9961,286.01,112.13,1.1213
1/2/2011,11-Feb,Hypermarkets,ISF,Beta,12,Low,Beta 12 Pack Low,617,72914,67.73,0.6773,185.24,118.18,1.1818
1/2/2011,11-Feb,Hypermarkets,ISF,Beta,12,High,Beta 12 Pack High,1919,224247,95.87,0.9587,569.72,116.86,1.1686
1/2/2011,11-Feb,Hypermarkets,ISF,Beta,12,Standard,Beta 12 Pack Standard,4353,438765,99.02,0.9902,1114.73,100.8,1.008
1/2/2011,11-Feb,Hypermarkets,ISF,Beta,18,Standard,Beta 18 Pack Standard,3677,348833,95.31,0.9531,886.25,94.87,0.9487
1/2/2011,11-Feb,Hypermarkets,ISF,Beta,60,Standard,Beta 60 Pack Standard,679,70635,46.41,0.4641,179.45,104.03,1.0403
1/2/2011,11-Feb,Hypermarkets,Ventura,Omega,12,Standard,Omega 12 Pack Standard,928,54749,67.19,0.6719,139.1,59,0.59
1/2/2011,11-Feb,Hypermarkets,ISL,Kappa,8,Standard,Kappa 8 Pack Standard,886,71740,97.31,0.9731,182.26,80.97,0.8097
1/2/2011,11-Feb,Hypermarkets,ISL,Kappa,12,Standard,Kappa 12 Pack Standard,2183,155881,98.73,0.9873,396.03,71.41,0.7141
1/2/2011,11-Feb,Hypermarkets,ISL,Kappa,18,Standard,Kappa 18 Pack Standard,3071,203151,96.97,0.9697,516.13,66.15,0.6615
1/2/2011,11-Feb,Hypermarkets,Vanguard,Pi,12,High,Pi 12 Pack High,818,63784,61.2,0.612,162.05,77.98,0.7798
1/2/2011,11-Feb,Supermarkets,ISX,Delta,12,Standard,Delta 12 Pack Standard,726,45149,22.07,0.2207,114.71,62.19,0.6219
1/2/2011,11-Feb,Supermarkets,ISX,Eta,12,Standard,Eta 12 Pack Standard,791,37562,5.06,0.0506,95.43,47.49,0.4749
1/2/2011,11-Feb,Supermarkets,ISX,Omicron,8,Standard,Omicron 8 Pack Standard,15457,1122737,49.26,0.4926,2852.43,72.64,0.7264
1/2/2011,11-Feb,Supermarkets,ISX,Omicron,12,Low,Omicron 12 Pack Low,527,51760,14.9,0.149,131.5,98.22,0.9822
1/2/2011,11-Feb,Supermarkets,ISX,Omicron,12,High,Omicron 12 Pack High,2852,256844,37.57,0.3757,652.54,90.06,0.9006
1/2/2011,11-Feb,Supermarkets,ISX,Omicron,12,Standard,Omicron 12 Pack Standard,8693,667219,44.16,0.4416,1695.14,76.75,0.7675
1/2/2011,11-Feb,Supermarkets,ISX,Omicron,18,Standard,Omicron 18 Pack Standard,4454,324632,36.72,0.3672,824.76,72.89,0.7289
1/2/2011,11-Feb,Supermarkets,ISX,Sigma,12,High,Sigma 12 Pack High,478,83969,17.33,0.1733,213.33,175.67,1.7567
1/2/2011,11-Feb,Supermarkets,ISX,Sigma,12,Standard,Sigma 12 Pack Standard,475,74834,16.68,0.1668,190.12,157.55,1.5755
1/2/2011,11-Feb,Supermarkets,ISX,Tau,12,Standard,Tau 12 Pack Standard,347,25478,13.98,0.1398,64.73,73.42,0.7342
1/2/2011,11-Feb,Supermarkets,ISB,Epsilon,12,Standard,Epsilon 12 Pack Standard,715,40157,15.27,0.1527,102.02,56.16,0.5616
1/2/2011,11-Feb,Supermarkets,ISB,Iota,12,High,Iota 12 Pack High,1342,117680,18.82,0.1882,298.98,87.69,0.8769
1/2/2011,11-Feb,Supermarkets,ISB,Iota,12,Standard,Iota 12 Pack Standard,601,53853,15.41,0.1541,136.82,89.61,0.8961
1/2/2011,11-Feb,Supermarkets,ISB,Lambda,8,Standard,Lambda 8 Pack Standard,418,29113,13.07,0.1307,73.97,69.65,0.6965
1/2/2011,11-Feb,Supermarkets,ISB,Lambda,12,Standard,Lambda 12 Pack Standard,2742,166940,34.29,0.3429,424.13,60.88,0.6088
1/2/2011,11-Feb,Supermarkets,ISB,Mu,12,Standard,Mu 12 Pack Standard,413,65739,17.54,0.1754,167.02,159.17,1.5917
1/2/2011,11-Feb,Supermarkets,ISB,Theta,6,Standard,Theta 6 Pack Standard,415,41884,11.25,0.1125,106.41,100.93,1.0093
1/2/2011,11-Feb,Supermarkets,ISB,Theta,8,Standard,Theta 8 Pack Standard,2135,198419,32.63,0.3263,504.1,92.94,0.9294
1/2/2011,11-Feb,Supermarkets,ISB,Theta,12,Low,Theta 12 Pack Low,1115,88853,13.82,0.1382,225.74,79.69,0.7969
1/2/2011,11-Feb,Supermarkets,ISB,Theta,12,High,Theta 12 Pack High,2300,213728,27.87,0.2787,543,92.93,0.9293
1/2/2011,11-Feb,Supermarkets,ISB,Theta,12,Standard,Theta 12 Pack Standard,26261,1673476,68.24,0.6824,4251.64,63.72,0.6372
1/2/2011,11-Feb,Supermarkets,ISB,Theta,18,Standard,Theta 18 Pack Standard,6533,425285,30.77,0.3077,1080.48,65.1,0.651
1/2/2011,11-Feb,Supermarkets,PickUp,Gamma,12,Standard,Gamma 12 Pack Standard,1937,136766,32.25,0.3225,347.47,70.61,0.7061
1/2/2011,11-Feb,Supermarkets,CabChasis,Alpha,12,Standard,Alpha 12 Pack Standard,5394,402587,40.62,0.4062,1022.81,74.64,0.7464
1/2/2011,11-Feb,Supermarkets,CabChasis,Alpha,18,Standard,Alpha 18 Pack Standard,376,29900,7.36,0.0736,75.97,79.52,0.7952
1/2/2011,11-Feb,Supermarkets,ISF,Beta,8,Standard,Beta 8 Pack Standard,1109,138557,25.16,0.2516,352.02,124.94,1.2494
1/2/2011,11-Feb,Supermarkets,ISF,Beta,12,Low,Beta 12 Pack Low,425,53264,14.89,0.1489,135.32,125.33,1.2533
1/2/2011,11-Feb,Supermarkets,ISF,Beta,12,High,Beta 12 Pack High,1142,148622,22.49,0.2249,377.59,130.14,1.3014
1/2/2011,11-Feb,Supermarkets,ISF,Beta,12,Standard,Beta 12 Pack Standard,4196,460859,38.65,0.3865,1170.86,109.83,1.0983
1/2/2011,11-Feb,Supermarkets,ISF,Beta,18,Standard,Beta 18 Pack Standard,1897,188455,20.1,0.201,478.79,99.34,0.9934
1/2/2011,11-Feb,Supermarkets,ISF,Beta,60,Standard,Beta 60 Pack Standard,160,19911,3.18,0.0318,50.59,124.44,1.2444
1/2/2011,11-Feb,Supermarkets,Ventura,Omega,12,Standard,Omega 12 Pack Standard,230,15329,5.19,0.0519,38.95,66.65,0.6665
1/2/2011,11-Feb,Supermarkets,ISL,Kappa,8,Standard,Kappa 8 Pack Standard,802,72220,25.32,0.2532,183.48,90.05,0.9005
1/2/2011,11-Feb,Supermarkets,ISL,Kappa,12,Standard,Kappa 12 Pack Standard,3581,270556,33.16,0.3316,687.38,75.55,0.7555
1/2/2011,11-Feb,Supermarkets,ISL,Kappa,18,Standard,Kappa 18 Pack Standard,751,57137,19.1,0.191,145.16,76.08,0.7608
1/2/2011,11-Feb,Supermarkets,Vanguard,Pi,12,High,Pi 12 Pack High,171,14687,6.89,0.0689,37.31,85.89,0.8589
1/3/2011,11-Mar,Hypermarkets,ISX,Delta,12,Standard,Delta 12 Pack Standard,1719,95477,92.28,0.9228,242.57,55.54,0.5554
1/3/2011,11-Mar,Hypermarkets,ISX,Eta,12,Standard,Eta 12 Pack Standard,631,29921,14.21,0.1421,76.02,47.42,0.4742
1/3/2011,11-Mar,Hypermarkets,ISX,Omicron,8,Standard,Omicron 8 Pack Standard,926,79037,98.65,0.9865,200.8,85.35,0.8535
1/3/2011,11-Mar,Hypermarkets,ISX,Omicron,12,Low,Omicron 12 Pack Low,497,44371,88.3,0.883,112.73,89.28,0.8928
1/3/2011,11-Mar,Hypermarkets,ISX,Omicron,12,High,Omicron 12 Pack High,1898,172828,96.78,0.9678,439.09,91.06,0.9106
1/3/2011,11-Mar,Hypermarkets,ISX,Omicron,12,Standard,Omicron 12 Pack Standard,6893,495545,99.93,0.9993,1258.99,71.89,0.7189
1/3/2011,11-Mar,Hypermarkets,ISX,Omicron,18,Standard,Omicron 18 Pack Standard,6940,459096,100,1,1166.38,66.15,0.6615
1/3/2011,11-Mar,Hypermarkets,ISX,Sigma,12,High,Sigma 12 Pack High,1186,188260,95.39,0.9539,478.29,158.74,1.5874
1/3/2011,11-Mar,Hypermarkets,ISX,Sigma,12,Standard,Sigma 12 Pack Standard,690,99439,91.44,0.9144,252.64,144.11,1.4411
1/3/2011,11-Mar,Hypermarkets,ISX,Tau,12,Standard,Tau 12 Pack Standard,899,57740,80.38,0.8038,146.69,64.23,0.6423
1/3/2011,11-Mar,Hypermarkets,ISB,Epsilon,12,Standard,Epsilon 12 Pack Standard,1108,58004,79.66,0.7966,147.37,52.35,0.5235
1/3/2011,11-Mar,Hypermarkets,ISB,Iota,12,High,Iota 12 Pack High,527,49445,92.13,0.9213,125.62,93.82,0.9382
1/3/2011,11-Mar,Hypermarkets,ISB,Iota,12,Standard,Iota 12 Pack Standard,1258,103255,97.22,0.9722,262.33,82.08,0.8208
1/3/2011,11-Mar,Hypermarkets,ISB,Lambda,8,Standard,Lambda 8 Pack Standard,799,49450,73.38,0.7338,125.63,61.89,0.6189
1/3/2011,11-Mar,Hypermarkets,ISB,Lambda,12,Standard,Lambda 12 Pack Standard,4244,226500,98.24,0.9824,575.45,53.37,0.5337
1/3/2011,11-Mar,Hypermarkets,ISB,Mu,12,Standard,Mu 12 Pack Standard,308,46660,53.85,0.5385,118.54,151.49,1.5149
1/3/2011,11-Mar,Hypermarkets,ISB,Theta,6,Standard,Theta 6 Pack Standard,203,19833,18.99,0.1899,50.39,97.7,0.977
1/3/2011,11-Mar,Hypermarkets,ISB,Theta,8,Standard,Theta 8 Pack Standard,791,69886,98.34,0.9834,177.55,88.35,0.8835
1/3/2011,11-Mar,Hypermarkets,ISB,Theta,12,Low,Theta 12 Pack Low,775,64163,84.32,0.8432,163.01,82.79,0.8279
1/3/2011,11-Mar,Hypermarkets,ISB,Theta,12,High,Theta 12 Pack High,4517,378610,99.82,0.9982,961.9,83.82,0.8382
1/3/2011,11-Mar,Hypermarkets,ISB,Theta,12,Standard,Theta 12 Pack Standard,5512,397584,98.79,0.9879,1010.11,72.13,0.7213
1/3/2011,11-Mar,Hypermarkets,ISB,Theta,18,Standard,Theta 18 Pack Standard,26398,1578722,98.02,0.9802,4010.9,59.8,0.598
1/3/2011,11-Mar,Hypermarkets,PickUp,Gamma,12,Standard,Gamma 12 Pack Standard,2257,142670,98.35,0.9835,362.47,63.21,0.6321
1/3/2011,11-Mar,Hypermarkets,CabChasis,Alpha,12,Standard,Alpha 12 Pack Standard,542,48198,62.02,0.6202,122.45,88.93,0.8893
1/3/2011,11-Mar,Hypermarkets,CabChasis,Alpha,18,Standard,Alpha 18 Pack Standard,1943,138370,93.94,0.9394,351.55,71.21,0.7121
1/3/2011,11-Mar,Hypermarkets,ISF,Beta,8,Standard,Beta 8 Pack Standard,880,100759,97.81,0.9781,255.99,114.5,1.145
1/3/2011,11-Mar,Hypermarkets,ISF,Beta,12,Low,Beta 12 Pack Low,434,50549,57.11,0.5711,128.42,116.47,1.1647
1/3/2011,11-Mar,Hypermarkets,ISF,Beta,12,High,Beta 12 Pack High,2326,265784,95.52,0.9552,675.25,114.27,1.1427
1/3/2011,11-Mar,Hypermarkets,ISF,Beta,12,Standard,Beta 12 Pack Standard,4290,438917,99.71,0.9971,1115.12,102.31,1.0231
1/3/2011,11-Mar,Hypermarkets,ISF,Beta,18,Standard,Beta 18 Pack Standard,3965,371989,96.06,0.9606,945.08,93.82,0.9382
1/3/2011,11-Mar,Hypermarkets,ISF,Beta,60,Standard,Beta 60 Pack Standard,673,67856,40.86,0.4086,172.4,100.83,1.0083
1/3/2011,11-Mar,Hypermarkets,Ventura,Omega,12,Standard,Omega 12 Pack Standard,1780,95776,68.58,0.6858,243.33,53.81,0.5381
1/3/2011,11-Mar,Hypermarkets,ISL,Kappa,8,Standard,Kappa 8 Pack Standard,868,68860,95.31,0.9531,174.95,79.33,0.7933
1/3/2011,11-Mar,Hypermarkets,ISL,Kappa,12,Standard,Kappa 12 Pack Standard,3275,223561,98.66,0.9866,567.98,68.26,0.6826
1/3/2011,11-Mar,Hypermarkets,ISL,Kappa,18,Standard,Kappa 18 Pack Standard,17963,1008214,99.13,0.9913,2561.47,56.13,0.5613
1/3/2011,11-Mar,Hypermarkets,Vanguard,Pi,12,High,Pi 12 Pack High,887,69046,56.92,0.5692,175.42,77.84,0.7784
1/3/2011,11-Mar,Supermarkets,ISX,Delta,12,Standard,Delta 12 Pack Standard,633,39461,20.32,0.2032,100.25,62.34,0.6234
1/3/2011,11-Mar,Supermarkets,ISX,Eta,12,Standard,Eta 12 Pack Standard,710,33743,4.76,0.0476,85.73,47.53,0.4753
1/3/2011,11-Mar,Supermarkets,ISX,Omicron,8,Standard,Omicron 8 Pack Standard,6704,508752,45.51,0.4551,1292.54,75.89,0.7589
